date,description
03-Oct-2011,Tag der Deutschen Einheit
31-Oct-2011,Reformationstag
16-Nov-2011,Buß- und Bettag
25-Dec-2011,1. Weihnachtsfeiertag
26-Dec-2011,2. Weihnachtsfeiertag
01-Jan-2012,Neujahr
06-Apr-2012,Karfreitag
09-Apr-2012,Ostermontag
01-May-2012,Tag der Arbeit
17-May-2012,Christi Himmelfahrt
28-May-2012,Pfingstmontag
03-Oct-2012,Tag der Deutschen Einheit
31-Oct-2012,Reformationstag
21-Nov-2012,Buß- und Bettag
25-Dec-2012,1. Weihnachtsfeiertag
26-Dec-2012,2. Weihnachtsfeiertag
01-Jan-2013,Neujahr
29-Mar-2013,Karfreitag
01-Apr-2013,Ostermontag
01-May-2013,Tag der Arbeit
09-May-2013,Christi Himmelfahrt
20-May-2013,Pfingstmontag
03-Oct-2013,Tag der Deutschen Einheit
31-Oct-2013,Reformationstag
20-Nov-2013,Buß- und Bettag
25-Dec-2013,1. Weihnachtsfeiertag
26-Dec-2013,2. Weihnachtsfeiertag
01-Jan-2014,Neujahr
18-Apr-2014,Karfreitag
21-Apr-2014,Ostermontag
01-May-2014,Tag der Arbeit
29-May-2014,Christi Himmelfahrt
09-Jun-2014,Pfingstmontag
03-Oct-2014,Tag der Deutschen Einheit
31-Oct-2014,Reformationstag
19-Nov-2014,Buß- und Bettag
25-Dec-2014,1. Weihnachtsfeiertag
26-Dec-2014,2. Weihnachtsfeiertag
01-Jan-2015,Neujahr
03-Apr-2015,Karfreitag
06-Apr-2015,Ostermontag
01-May-2015,Tag der Arbeit
14-May-2015,Christi Himmelfahrt
25-May-2015,Pfingstmontag
03-Oct-2015,Tag der Deutschen Einheit
31-Oct-2015,Reformationstag
18-Nov-2015,Buß- und Bettag
25-Dec-2015,1. Weihnachtsfeiertag
26-Dec-2015,2. Weihnachtsfeiertag
01-Jan-2016,Neujahr
25-Mar-2016,Karfreitag
28-Mar-2016,Ostermontag
01-May-2016,Tag der Arbeit
05-May-2016,Christi Himmelfahrt
16-May-2016,Pfingstmontag
03-Oct-2016,Tag der Deutschen Einheit
31-Oct-2016,Reformationstag
16-Nov-2016,Buß- und Bettag
25-Dec-2016,1. Weihnachtsfeiertag
26-Dec-2016,2. Weihnachtsfeiertag
01-Jan-2017,Neujahr
14-Apr-2017,Karfreitag
17-Apr-2017,Ostermontag
01-May-2017,Tag der Arbeit
25-May-2017,Christi Himmelfahrt
05-Jun-2017,Pfingstmontag
03-Oct-2017,Tag der Deutschen Einheit
31-Oct-2017,Reformationstag
22-Nov-2017,Buß- und Bettag
25-Dec-2017,1. Weihnachtsfeiertag
26-Dec-2017,2. Weihnachtsfeiertag
01-Jan-2018,Neujahr
30-Mar-2018,Karfreitag
02-Apr-2018,Ostermontag
01-May-2018,Tag der Arbeit
10-May-2018,Christi Himmelfahrt
21-May-2018,Pfingstmontag
03-Oct-2018,Tag der Deutschen Einheit
31-Oct-2018,Reformationstag
21-Nov-2018,Buß- und Bettag
25-Dec-2018,1. Weihnachtsfeiertag
26-Dec-2018,2. Weihnachtsfeiertag
01-Jan-2019,Neujahr
19-Apr-2019,Karfreitag
22-Apr-2019,Ostermontag
01-May-2019,Tag der Arbeit
30-May-2019,Christi Himmelfahrt
10-Jun-2019,Pfingstmontag
03-Oct-2019,Tag der Deutschen Einheit
31-Oct-2019,Reformationstag
20-Nov-2019,Buß- und Bettag
25-Dec-2019,1. Weihnachtsfeiertag
26-Dec-2019,2. Weihnachtsfeiertag
01-Jan-2020,Neujahr
10-Apr-2020,Karfreitag
13-Apr-2020,Ostermontag
01-May-2020,Tag der Arbeit
21-May-2020,Christi Himmelfahrt
01-Jun-2020,Pfingstmontag
03-Oct-2020,Tag der Deutschen Einheit
31-Oct-2020,Reformationstag
18-Nov-2020,Buß- und Bettag
25-Dec-2020,1. Weihnachtsfeiertag
26-Dec-2020,2. Weihnachtsfeiertag
01-Jan-2021,Neujahr
02-Apr-2021,Karfreitag
05-Apr-2021,Ostermontag
01-May-2021,Tag der Arbeit
13-May-2021,Christi Himmelfahrt
24-May-2021,Pfingstmontag
03-Oct-2021,Tag der Deutschen Einheit
31-Oct-2021,Reformationstag
17-Nov-2021,Buß- und Bettag
25-Dec-2021,1. Weihnachtsfeiertag
26-Dec-2021,2. Weihnachtsfeiertag
01-Jan-2022,Neujahr
15-Apr-2022,Karfreitag
18-Apr-2022,Ostermontag
01-May-2022,Tag der Arbeit
26-May-2022,Christi Himmelfahrt
06-Jun-2022,Pfingstmontag
03-Oct-2022,Tag der Deutschen Einheit
31-Oct-2022,Reformationstag
16-Nov-2022,Buß- und Bettag
25-Dec-2022,1. Weihnachtsfeiertag
26-Dec-2022,2. Weihnachtsfeiertag
01-Jan-2023,Neujahr
07-Apr-2023,Karfreitag
10-Apr-2023,Ostermontag
01-May-2023,Tag der Arbeit
18-May-2023,Christi Himmelfahrt
29-May-2023,Pfingstmontag
03-Oct-2023,Tag der Deutschen Einheit
31-Oct-2023,Reformationstag
22-Nov-2023,Buß- und Bettag
25-Dec-2023,1. Weihnachtsfeiertag
26-Dec-2023,2. Weihnachtsfeiertag
01-Jan-2024,Neujahr
29-Mar-2024,Karfreitag
01-Apr-2024,Ostermontag
01-May-2024,Tag der Arbeit
09-May-2024,Christi Himmelfahrt
20-May-2024,Pfingstmontag
03-Oct-2024,Tag der Deutschen Einheit
31-Oct-2024,Reformationstag
20-Nov-2024,Buß- und Bettag
25-Dec-2024,1. Weihnachtsfeiertag
26-Dec-2024,2. Weihnachtsfeiertag
01-Jan-2025,Neujahr
18-Apr-2025,Karfreitag
21-Apr-2025,Ostermontag
01-May-2025,Tag der Arbeit
29-May-2025,Christi Himmelfahrt
09-Jun-2025,Pfingstmontag
03-Oct-2025,Tag der Deutschen Einheit
31-Oct-2025,Reformationstag
19-Nov-2025,Buß- und Bettag
25-Dec-2025,1. Weihnachtsfeiertag
26-Dec-2025,2. Weihnachtsfeiertag
01-Jan-2026,Neujahr
03-Apr-2026,Karfreitag
06-Apr-2026,Ostermontag
01-May-2026,Tag der Arbeit
14-May-2026,Christi Himmelfahrt
25-May-2026,Pfingstmontag
03-Oct-2026,Tag der Deutschen Einheit
31-Oct-2026,Reformationstag
18-Nov-2026,Buß- und Bettag
25-Dec-2026,1. Weihnachtsfeiertag
26-Dec-2026,2. Weihnachtsfeiertag
01-Jan-2027,Neujahr
26-Mar-2027,Karfreitag
29-Mar-2027,Ostermontag
