Koordinatensystem : Lambert konform konisch
Rechtswert        : 3766500 Meter
Hochwert          : 2561500 Meter
Hoehenlage        : 192 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3766500 2561500  1  3 22  -1.5 1008  50  2.4 3  2.8  81    0    0 241 -304  2
3766500 2561500  1  3 23  -2.1 1008  50  1.8 3  2.9  86    0    0 223 -302  2
3766500 2561500  1  3 24  -2.8 1008  56  1.7 0  2.8  88    0    0 209 -301  2
3766500 2561500  1  4  1  -3.4 1008  64  1.6 2  2.7  90    0    0 203 -303  2
3766500 2561500  1  4  2  -3.6 1008  52  1.9 3  2.7  92    0    0 213 -302  2
3766500 2561500  1  4  3  -3.6 1008  61  1.5 3  2.7  92    0    0 217 -296  2
3766500 2561500  1  4  4  -4.1 1008  52  2.0 2  2.7  93    0    0 212 -292  2
3766500 2561500  1  4  5  -4.5 1008  52  1.9 1  2.6  94    0    0 203 -290  2
3766500 2561500  1  4  6  -4.9 1008  42  1.9 1  2.5  93    0    0 199 -287  2
3766500 2561500  1  4  7  -5.1 1008  40  2.0 0  2.4  93    0    0 194 -285  2
3766500 2561500  1  4  8  -5.5 1008   5  0.4 0  2.4  93    0    0 190 -284  2
3766500 2561500  1  4  9  -6.1 1008   4  0.6 1  2.3  93    0    3 190 -283  2
3766500 2561500  1  4 10  -5.9 1009  64  1.0 1  2.3  93   35   37 192 -282  2
3766500 2561500  1  4 11  -4.9 1009  44  1.8 1  2.4  93  115   53 193 -284  2
3766500 2561500  1  4 12  -4.4 1009  56  2.8 0  2.5  92  172   59 191 -287  2
3766500 2561500  1  4 13  -3.1 1008  47  3.4 0  2.5  88  186   65 189 -291  2
3766500 2561500  1  4 14  -2.4 1008  43  2.8 1  2.5  81  153   69 194 -294  2
3766500 2561500  1  4 15  -2.2 1007  32  3.2 0  2.5  78  126   48 196 -296  2
3766500 2561500  1  4 16  -2.4 1007  34  3.2 1  2.5  78   66   31 196 -294  2
3766500 2561500  1  4 17  -3.4 1007  35  3.6 1  2.4  78    6    9 199 -290  2
3766500 2561500  1  4 18  -4.1 1007  46  3.6 0  2.3  80    0    0 193 -286  2
3766500 2561500  1  4 19  -4.8 1007  38  3.2 0  2.3  84    0    0 188 -283  2
3766500 2561500  1  4 20  -4.9 1007  47  3.8 0  2.3  85    0    0 187 -281  2
3766500 2561500  1  4 21  -5.7 1008  21  3.2 0  2.2  86    0    0 186 -280  2
3766500 2561500  1  4 22  -6.1 1008  18  3.2 0  2.1  87    0    0 184 -278  2
3766500 2561500  1  4 23  -6.6 1008  28  2.1 0  2.1  88    0    0 183 -277  2
3766500 2561500  1  4 24  -7.1 1008  24  2.1 0  2.0  89    0    0 182 -277  2
3766500 2561500  1  5  1  -7.3 1008  25  2.2 1  2.0  92    0    0 183 -276  2
3766500 2561500  1  5  2  -7.4 1008  42  3.2 1  2.0  92    0    0 185 -275  2
3766500 2561500  1  5  3  -7.5 1007  47  3.7 1  2.0  92    0    0 183 -275  2
3766500 2561500  1  5  4  -7.6 1008  36  3.7 1  2.0  93    0    0 183 -274  2
3766500 2561500  1  5  5  -7.8 1008  42  3.9 1  2.0  92    0    0 182 -273  2
3766500 2561500  1  5  6  -8.3 1007  17  3.1 0  1.9  91    0    0 180 -272  2
3766500 2561500  1  5  7  -8.5 1007  34  3.5 0  1.8  91    0    0 177 -271  2
3766500 2561500  1  5  8  -9.2 1006  59  1.6 0  1.8  90    0    0 176 -271  2
3766500 2561500  1  5  9  -9.4 1007  63  1.6 0  1.7  90    0    3 175 -270  2
3766500 2561500  1  5 10  -8.8 1006  14  2.2 0  1.7  91   32   38 174 -269  2
3766500 2561500  1  5 11  -7.4 1006  47  1.8 0  1.9  90   97   62 175 -273  2
3766500 2561500  1  5 12  -6.5 1006  16  1.9 1  2.0  88  148   73 179 -279  2
3766500 2561500  1  5 13  -5.0 1005  25  2.0 1  2.1  84  172   74 184 -284  2
3766500 2561500  1  5 14  -4.3 1003  38  2.1 1  2.1  79  169   64 186 -287  2
3766500 2561500  1  5 15  -3.8 1002  26  2.3 0  2.1  74  133   47 184 -289  2
3766500 2561500  1  5 16  -3.9 1002  44  2.0 1  2.1  72   63   33 185 -288  2
3766500 2561500  1  5 17  -4.7 1001  77  2.0 2  2.0  72    7   10 190 -283  2
3766500 2561500  1  5 18  -5.2 1001  43  1.3 2  1.9  73    0    0 192 -272  2
3766500 2561500  1  5 19  -6.1 1001  65  0.7 2  1.9  74    0    0 192 -263  2
3766500 2561500  1  5 20  -6.8 1001   2  2.6 2  1.8  77    0    0 192 -264  2
3766500 2561500  1  5 21  -6.7 1001 153  2.6 1  1.8  77    0    0 190 -270  2
3766500 2561500  1  5 22  -6.9 1001  96  1.5 3  1.8  77    0    0 194 -272  2
3766500 2561500  1  5 23  -7.7 1000 135  1.1 3  1.7  78    0    0 201 -267  2
3766500 2561500  1  5 24  -6.9  999  98  1.5 1  1.8  79    0    0 198 -267  2
3766500 2561500  1  6  1  -6.7  998 159  2.5 1  1.8  77    0    0 196 -270  2
3766500 2561500  1  6  2  -7.0  997  18  0.9 2  1.8  78    0    0 202 -272  2
3766500 2561500  1  6  3  -7.4  996  48  1.6 2  1.8  80    0    0 207 -275  2
3766500 2561500  1  6  4  -7.1  996 171  1.2 2  1.8  81    0    0 208 -274  2
3766500 2561500  1  6  5  -7.9  995 174  1.0 3  1.8  82    0    0 214 -273  2
3766500 2561500  1  6  6  -7.6  995 281  0.7 3  1.8  84    0    0 218 -275  2
3766500 2561500  1  6  7  -7.4  994 230  0.9 4  1.8  84    0    0 223 -277  2
3766500 2561500  1  6  8  -7.9  994 348  0.4 6  1.9  86    0    0 235 -278  2
3766500 2561500  1  6  9  -7.5  994 351  1.1 7  1.9  87    0    1 248 -279  2
3766500 2561500  1  6 10  -6.6  994 163  0.4 7  2.0  87    0   32 255 -283  2
3766500 2561500  1  6 11  -5.9  994  87  0.3 6  2.1  85   29   85 255 -292  2
3766500 2561500  1  6 12  -5.2  995 330  0.8 7  2.0  80   30  111 257 -299  2
3766500 2561500  1  6 13  -4.4  995 239  0.8 8  2.0  74    1   89 269 -304  2
3766500 2561500  1  6 14  -3.9  995 294  0.9 8  2.0  72    1   82 277 -307  2
3766500 2561500  1  6 15  -3.7  995 271  1.7 7  2.1  74    4   71 275 -307  2
3766500 2561500  1  6 16  -3.6  996 197  0.6 7  2.2  74    0   34 271 -308  2
3766500 2561500  1  6 17  -3.7  996 235  1.1 7  2.2  73    0    4 269 -306  2
3766500 2561500  1  6 18  -3.7  998 273  1.1 7  2.2  76    0    0 270 -303  2
3766500 2561500  1  6 19  -3.7  998 259  1.4 7  2.3  79    0    0 270 -300  2
3766500 2561500  1  6 20  -3.6  998 253  1.3 7  2.3  80    0    0 269 -300  2
3766500 2561500  1  6 21  -3.7  999 233  1.8 8  2.4  82    0    0 274 -299  2
3766500 2561500  1  6 22  -3.5 1000 233  1.5 7  2.5  86    0    0 273 -297  2
3766500 2561500  1  6 23  -3.4 1000 222  1.9 7  2.6  87    0    0 269 -292  2
3766500 2561500  1  6 24  -3.4 1000 225  1.9 8  2.6  87    0    0 273 -287  2
3766500 2561500  1  7  1  -3.4 1001 256  1.5 8  2.6  87    0    0 275 -281  2
3766500 2561500  1  7  2  -3.4 1002 256  1.4 8  2.6  87    0    0 274 -278  2
3766500 2561500  1  7  3  -3.3 1002 222  1.3 8  2.6  87    0    0 272 -276  2
3766500 2561500  1  7  4  -3.1 1002 224  1.2 8  2.6  87    0    0 271 -274  2
3766500 2561500  1  7  5  -3.0 1003 242  1.3 8  2.7  89    0    0 269 -272  2
3766500 2561500  1  7  6  -2.8 1003 236  1.3 8  2.8  90    0    0 267 -271  2
3766500 2561500  1  7  7  -2.7 1004 241  1.3 7  2.9  91    0    0 263 -271  2
3766500 2561500  1  7  8  -2.5 1004   8  0.2 8  2.9  92    0    0 261 -270  2
3766500 2561500  1  7  9  -2.5 1005  10  1.3 8  2.9  92    0    2 264 -269  2
3766500 2561500  1  7 10  -2.3 1006  70  0.5 4  3.0  93    0   12 250 -269  2
3766500 2561500  1  7 11  -2.0 1007  58  0.9 8  3.1  94    0   50 251 -272  2
3766500 2561500  1  7 12  -1.7 1008  48  1.2 3  3.1  94   14  106 250 -277  2
3766500 2561500  1  7 13  -1.0 1008  34  1.6 4  3.2  92   43  132 236 -282  2
3766500 2561500  1  7 14  -0.6 1009  32  1.3 6  3.1  88    2   88 249 -286  2
3766500 2561500  1  7 15  -0.7 1009  37  1.2 8  3.1  84    0   47 260 -288  2
3766500 2561500  1  7 16  -0.9 1010  36  1.4 8  2.9  82    0   25 260 -287  2
3766500 2561500  1  7 17  -1.5 1009  55  1.3 8  2.7  76    0    4 250 -283  2
3766500 2561500  1  7 18  -1.8 1010  57  3.0 7  2.5  73    0    0 242 -279  2
3766500 2561500  1  7 19  -2.0 1011  57  2.4 8  2.4  73    0    0 240 -277  2
3766500 2561500  1  7 20  -2.2 1011  67  2.3 8  2.4  74    0    0 241 -275  2
3766500 2561500  1  7 21  -2.1 1011  96  1.2 8  2.4  75    0    0 243 -274  2
3766500 2561500  1  7 22  -2.4 1012 121  1.4 8  2.4  76    0    0 243 -273  2
3766500 2561500  1  7 23  -2.5 1012  65  1.1 8  2.3  74    0    0 244 -272  2
3766500 2561500  1  7 24  -2.7 1013  76  1.2 8  2.3  74    0    0 246 -270  2
3766500 2561500  1  8  1  -2.8 1013  96  1.4 6  2.3  75    0    0 242 -270  2
3766500 2561500  1  8  2  -3.0 1012  34  1.3 8  2.3  74    0    0 242 -269  2
3766500 2561500  1  8  3  -3.2 1012 120  1.7 8  2.3  75    0    0 249 -268  2
3766500 2561500  1  8  4  -3.6 1012  23  1.6 7  2.3  76    0    0 247 -263  2
3766500 2561500  1  8  5  -3.9 1012 126  2.2 6  2.2  77    0    0 241 -258  2
3766500 2561500  1  8  6  -4.1 1012  55  2.0 7  2.2  77    0    0 242 -256  2
3766500 2561500  1  8  7  -4.1 1012 156  1.8 7  2.2  78    0    0 248 -259  2
3766500 2561500  1  8  8  -3.8 1012 173  1.8 7  2.3  80    0    0 249 -265  2
3766500 2561500  1  8  9  -4.0 1012 174  2.8 7  2.3  80    0    1 251 -267  2
3766500 2561500  1  8 10  -4.3 1012 201  2.6 8  2.2  80    2   44 254 -265  2
3766500 2561500  1  8 11  -3.9 1012 222  2.8 6  2.2  80    1   67 251 -271  2
3766500 2561500  1  8 12  -3.3 1011 230  2.9 7  2.3  78    0   63 248 -281  2
3766500 2561500  1  8 13  -3.0 1011 219  3.4 7  2.3  76    2  106 253 -288  2
3766500 2561500  1  8 14  -2.9 1010 236  4.1 7  2.4  77    6  113 255 -292  2
3766500 2561500  1  8 15  -2.2 1009 238  3.8 7  2.4  77   10   96 256 -293  2
3766500 2561500  1  8 16  -2.1 1008 228  3.3 8  2.5  77    3   48 262 -292  2
3766500 2561500  1  8 17  -2.0 1007 233  3.5 8  2.5  77    0    8 266 -289  2
3766500 2561500  1  8 18  -2.3 1006 221  4.0 8  2.5  78    0    0 268 -286  2
